text,label
"The engagement is driving improved conversations with our customers about climate change risks, allowing us to make more informed lending decisions and policies. Over time we expect more of our customers to report on their transition plans. We also intend for discussions on climate-related risks and opportunities to become part of regular discussions with all Institutional and corporate customers.",1
"Our Integris Global Equity portfolios exclude companies that have material connections to certain controversial industries, e.g. fossil fuels, tobacco and weapons. We also exclude companies that score the worst overall ESG score (‘CCC’) as calculated by an independent external ESG research company, MSCI ESG Research, and at the end of December 2018, there were 174 companies excluded from the portfolios as a result of this ESG screen.",0
"25 large Dutch banks, insurers and pension funds are particularly exposed to these risks, these financial institutions have not yet sufficiently integrated them into their business operations. For example, they invest EUR 97 billion in shares of companies operating in areas with significant water scarcity and EUR 56 billion in companies dependent on scarce resources.",0
"Sustainable Development Goals ('SDGs') Analytics In 2020, Trucost launched a Sustainable Development Goal analytics tool allowing financial institutions to assess portfolio alignment to the UN Sustainable Development Goals (SDGs). Trucost's Sustainable Development Goal analysis tool is an extension of Trucost's Sustainable Development Goal Evaluation tool launch in 2018 to help companies align business strategies with the goals. The Sustainable Development Goals are a global blueprint adopted by the world's governments to achieve a better and more sustainable future for all.",1
"For separate account clients, we make this data available directly to the client upon request. In addition to supporting our clients in considering climate and other sustainability-related risks to which a given fund may be subject, making this data available to our clients supports our clients' abilities to report Greenhouse gas emissions data for their investments. On pages 39 and 40, we provide an example of the product-level disclosure provided to clients.",0
"In 2019, and continuing throughout 2020, we have rolled-out a comprehensive climate change training programme. In 2019 we published an internal briefing paper focused on climate change science facts, its geopolitical and macro- economical implications, as well as commercial impacts on companies. This provided the basis for a training session attended by over 200 staff in Head Quarters. This training has now been converted into an on-line course which has now been shared with local units to incorporate as part of their training programmes. Further training activities are currently being planned including additional awareness raising and specific topics on business opportunities.",0
"Origin has a robust risk-based inspection and infrastructure integrity program that is designed to manage venting and minimise leaks. It includes an annual maintenance program for wellheads and surface facilities, and testing of pipework and vessels. We continue to focus on our gas monitoring program, aiming to reduce our reliance on regulatory emission factors. This monitoring data also informs decisions about whether to retrofit or change the design of new infrastructure to reduce emissions.",1
"oil demand will peak globally around 2020 at 97 Mb/d, and in almost all Coun- tries before 2030 (except India and Sub-Saharan Africa). The only growing sector is the petrochemical industry. Half of the car fleet in 2040 will be elec- tric and internal combustion cars will be 40% more efficient than today. Almost 20% of the fuels used by trucks will have low or zero carbon content. A quarter of the bus fleet will be electric;",1
"We currently source 18 percent of our energy from alternative fuels, low- carbon fuels and biomass. In some of our operations, we have been able to meet 90 percent of our energy requirements with alternative fuels, but we also acknowledge our potential to increase this rate significantly in the coming years. (See further information on our Geocycle operations on page 31).",0
"Over the past few years, we have taken steps to facilitate a shift towards improved access to public transport for employees (buses, commuter trains) and carpooling. Our carpooling initiative now has over 1 Lakh registered users across locations. Around 22.7 Million kms of rides were shared in the reporting year saving 4900 tons of CO",0
"The British Columbia Carbon Tax Act sets a carbon price of $40 per tonne of CO2e on fuel combustion and is expected to increase by $5 per tonne of CO2e per year, reaching the federal target carbon price of $50 on April 1, 2021. The federal government has stated this program meets the requirements of the federal Greenhouse Gas Pollution Pricing Act. The CleanBC Program for Industry directs an amount equal to the incremental carbon tax paid by industry above $30/tonne into incentives to reduce emissions. The Government of British Columbia has also introduced measures to reduce upstream methane emissions by 45 percent and establish separate sector-level benchmarks to reduce carbon tax costs for industrial facilities.",1
"Bank is a founding member of the NGFS. The Network was co-founded by eight central banks and supervisors in December 2017. As of April 2020, membership has grown to over 65 members and 12 observers representing countries responsible for approximately 60% of global carbon emissions. Through the NGFS, the",1
"Over the last two years, the CGEN has encouraged the Group to make strong com- mitments when it comes to managing climate-re- lated risks and opportunities, in various ways: re- ducing support for the coal sector, strengthening the Group's climate goals, etc.",1
"As a first step towards performing a proper scenario analysis, UniCredit is partnering with the global think tank 2 Investment Initiative (2 ii) in road-testing their Paris Agreement Capital Transition Assessment (PACTA) methodology in a pool of 17 international banks. Originally developed to assess the exposure of both equity and bond portfolios to transition technologies across key sectors, a research programme to expand the model to the banks' corporate lending portfolios has been launched by 2 ii .",1
"In addition, we have continued to progress our environmental management with the adoption of the International Air Transport Association (IATA) Environmental Assessment (IEnvA) management system. IEnvA is the airline industry version of",1
"At the global level, in 2018 an agreement was reached within the IMO (International Maritime Organization) on the adoption of an initial strategy to reduce greenhouse gas emissions from the shipping sector.",1
All decisions to finance projects are based on the criterion of principle-based profitability. This implies meeting stakeholders expectations and the social demand for adaptation to climate change and respect for human rights.,1
"To test the resilience of new projects, we assess potential costs associated with GHG emissions when evaluating all new investments. Our approach applies a uniform project screening value (PSV) of $40 (real terms) per tonne of carbon dioxide (CO2) equivalent to the total GHG emissions of each investment. This PSV is generally applied when evaluating our new projects around the world to test their resilience across a range of future scenarios. The project development process features a number of checks that may require development of detailed GHG and energy management plans. High-emitting projects undergo additional sensitivity testing, including the potential for future CCS projects. Projects in the most GHG-exposed asset classes have GHG intensity targets that reflect standards sufficient to allow them to compete and prosper in a more CO2 regulated future. These processes can lead to projects being stopped, designs being changed, and potential GHG mitigation investments being identified, in preparation for when regulation would make these investments commercially compelling.",0
"Metrics and Targets Scotiabank sets, monitors and reports on climate change related performance and targets annually in Scotiabank's Sustainable Business Report. The Bank also reports to Carbon Disclosure Project (formerly the Carbon Disclosure Project). As part of Scotiabank's Climate Commitments, the Bank is tracking the initiatives that underlie its commitment as part of the metrics and targets it has adopted pursuant to these Commitments.",1
"In 2019, ING joined the United Nations Environment Programme FI Pilot Project on Implementing the Task Force on Climate-related Financial Disclosures Recommendations for Banks, where ING specialists participated in sector working groups, including the oil & gas group. This experience has given us further qualitative and quantitative insights into the potential impacts of climate risk on our current lending portfolio and future business. https://new.ingwb.com/binaries/content/assets/insights/research-reports/energy-scenarios/ing-energy-scenarios-report.pdf https://www.ing.com/Newsroom/News/ING-further-sharpens-coal-policy-to-support-transition-to-low-carbon-economy.htm https://www.unepfi.org/banking/tcfd/ https://www.unepfi.org/banking/tcfd/",0
"Societe Generale's leading position in the renewable market is confirmed by the recently issued Dealogic league tables for 2018, in which the Group was ranked N 2 for both Lending and Financial Advisory in the EMEA renewable market. In 2018, the Bank advised clients on transactions with a total value of USD 4.1bn and acted as Mandated Lead",0
Work on our approach to becoming a net zero carbon business will include the development of new targets to replace and supplement our existing ones. These will be set and made public during the current financial year.,1
"Potential sustainability risks include financial and insurance-related risks (including compliance and governance considerations), safety and health, and supplier diversity. In our mission of continuous improvement, we monitor insurance declarations through an automated system checking for expired or out of date insurance declarations, which triggers notification to the supply chain managers for corrective action; we conduct site visits and unannounced inspection of suppliers’ facilities, particularly with our top fleet suppliers; and we work closely with the operations in the field to observe the service level provided to our operations. Any slippage observed from a safety or service disruption standpoint, will warrant a corrective action plan.",1
"This project was achieved through collaboration between Corporate Services, Commodities and GSF. Global Capital Markets also joined the partnership for one of the wind farms to provide construction loan financing to the developer. The Commodities Team will manage the wind farms' energy pricing in the market while providing the firm long-term fixed pricing for RECs.",1
AGL Macquarie is working with WaterNSW to add to its model of the Hunter River regulated system to improve and provide greater clarity of our operation and operational impact on the system.,1
"Emissions from flaring are predominantly CO2, as the majority of the methane is combusted during the flaring process. Through targeted planning and implementing learnings from previous field turndowns during major maintenance shutdown operations, as well as the development of field turndown tools utilising artificial intelligence technology, we have been able to substantially reduce flaring at our gas processing facilities by 57 per cent.",0
"The British Columbia Carbon Tax Act sets a carbon price of $30 per tonne of CO2e on fuel combustion. Beginning April 1, 2018, the provincial carbon tax is expected to increase by $5 per tonne of CO2e per year, reaching the federal target carbon price of $50 on April 1, 2021. The tax may also be expanded to fugitive and vented emissions from the oil and gas sector. The Government of British Columbia has also introduced measures to reduce upstream",1
"Screening Process for Loan and Investment Proposals When reviewing and making decisions on loan and investment proposals, MC has adopted a process in which the Investment Committee deliberates all proposals to be discussed by the Board of Directors and the Executive Committee comprehensively based not only on economic aspects, but on Environmental, Social, and Governance factors as well.",1
"Capital Dynamics is a global private asset manager headquartered in Zug, Switzerland. Our history dates back to 19882 and we currently oversee more than USD 16 billion in assets under management and advisement3 across our private equity, private credit and clean energy infrastructure platforms.",1
"Mitigating the impact of our operations 'Mitigation is a key component of a process, it is essential to achieve a healthy environmental plan' (USAID) Investing in internal projects We share the vision that there is no management without measurement.",1
